subj_ID,condition,own_words,kept_words,elim_words
2,keep,"[('to', 6), ('He', 6), ('are', 6), ('I', 5), ('feel', 4), ('they', 4), ('and', 4), ('looks', 4), ('like', 4), ('arrest.', 4), ('one', 3), ('for', 3), ('angry.', 3), ('hes', 3), ('hurting', 3), ('Looks', 3), ('Not', 3), ('force', 3), ('him.', 3), ('so', 2), ('arrest', 2), ('something', 2), ('bad', 2), ('wrong.', 2), ('african', 2), ('american', 2), ('being', 2), ('arrested.', 2), ('She', 2), ('a', 2), ('of', 2), ('she', 2), ('is', 2), ('he', 2), ('No', 2), ('brutal', 2), ('not', 2), ('on', 2), ('that', 2), ('man', 2), ('the', 2), ('seems', 2), ('angry', 1), ('helpless', 1), ('dont', 1), ('understand', 1), ('why', 1), ('need', 1), ('many', 1), ('person.', 1)]","[('the', 22), ('is', 22), ('I', 18), ('to', 13), ('for', 12), ('a', 11), ('this', 11), ('police', 11), ('being', 9), ('man', 8), ('he', 7), ('be', 7), ('by', 7), ('feel', 6), ('looks', 6), ('of', 6), ('like', 6), ('in', 5), (""don't"", 5), ('much', 5), ('The', 5), ('have', 5), ('arrested', 5), ('My', 5), ('response', 5), ('sad', 4), ('person', 4), ('on', 4), ('so', 4), ('not', 4), ('it', 4), ('what', 4), ('force.', 3), ('This', 3), ('an', 3), ('seem', 3), ('with', 3), ('ground.', 3), ('look', 3), ('response.', 3), ('these', 3), ('while', 3), ('up', 3), ('woman', 3), ('guy', 3), ('see', 2), ('worried', 2), ('as', 2), ('seems', 2), ('He', 2)]","[('I', 17), ('is', 16), ('police', 13), ('of', 12), ('the', 11), ('a', 11), ('being', 11), ('to', 10), ('like', 9), ('are', 8), ('this', 8), ('looks', 7), ('man', 6), ('and', 6), ('his', 6), ('feel', 6), ('what', 6), ('This', 6), ('that', 5), ('why', 5), ('in', 5), ('for', 5), ('by', 5), ('they', 5), ('at', 4), ('it', 4), ('he', 4), ('so', 4), ('person', 4), ('black', 4), ('The', 4), ('force.', 4), ('be', 3), ('an', 3), ('much', 3), ('cops', 3), ('one', 3), ('have', 3), ('arresting', 3), ('she', 3), ('A', 3), ('guy', 3), ('going', 3), ('wonder', 3), ('innocent', 2), ('handcuffed', 2), ('all', 2), ('someone', 2), ('as', 2), ('arrested.', 2)]"
3,eliminate,"[('the', 11), ('like', 8), ('is', 8), ('looks', 8), ('This', 8), ('this', 7), ('I', 6), ('feel', 6), ('a', 6), (""doesn't"", 5), ('but', 5), ('man', 5), ('his', 5), ('situation.', 4), ('police', 4), ('in', 4), ('so', 4), ('be', 4), ('unjust', 3), ('situation', 3), ('of', 3), ('seem', 3), ('to', 3), ('on', 3), ('he', 3), ('pain.', 3), ('It', 2), ('an', 2), ('force', 2), ('However,', 2), ('way', 2), ('are', 2), ('not', 2), ('know', 2), ('The', 2), ('pretty', 2), ('may', 2), ('To', 2), ('making', 2), ('many', 2), ('why', 2), ('Maybe', 2), ('Why', 2), ('arm', 2), ('she', 2), ('angry.', 1), ('feels', 1), ('Anothr', 1), ('situtation', 1), ('where', 1)]","[('the', 29), ('is', 29), ('to', 17), ('being', 17), ('this', 16), ('police', 14), ('I', 12), ('man', 12), ('by', 12), ('on', 11), ('like', 11), ('they', 10), ('and', 10), ('looks', 8), ('as', 7), ('arrested', 7), ('for', 7), ('person', 7), ('in', 7), ('a', 7), ('black', 7), ('seems', 6), ('This', 6), ('what', 6), ('are', 6), ('A', 6), ('down', 5), ('he', 5), ('feel', 5), ('of', 5), ('his', 5), ('be', 5), ('force', 5), ('held', 5), ('picture', 4), ('ground', 4), ('but', 4), ('at', 4), ('why', 4), ('woman', 4), ('Black', 4), ('one', 4), ('officers.', 4), ('handcuffed', 3), ('wonder', 3), ('it', 3), ('cops', 3), ('who', 3), ('not', 3), ('using', 3)]","[('to', 20), ('the', 19), ('a', 16), ('I', 14), ('police', 12), ('is', 12), ('like', 11), ('looks', 10), ('being', 10), ('be', 7), ('feel', 7), ('for', 7), ('and', 6), ('this', 6), ('in', 6), ('he', 6), ('that', 6), ('arrested', 6), ('as', 5), ('of', 5), ('have', 5), ('by', 5), ('an', 4), ('people', 4), ('did', 4), ('arrested.', 4), ('no', 4), ('it', 4), ('what', 4), ('on', 4), ('not', 4), ('do', 4), ('guy', 4), ('This', 4), ('suspect', 3), ('if', 3), ('are', 3), ('protesters', 3), ('or', 3), ('response', 3), ('away', 3), ('these', 3), ('cops', 3), ('police.', 2), (""it's"", 2), ('more', 2), ('with', 2), ('What', 2), ('The', 2), ('man', 2)]"
4,keep,"[('the', 17), ('is', 15), ('to', 12), ('like', 11), ('This', 10), ('and', 9), ('seems', 8), ('police', 8), ('looks', 7), ('man', 6), ('a', 6), ('woman', 5), ('It', 5), ('are', 4), ('be', 4), ('but', 4), ('makes', 4), ('they', 4), ('doing', 4), ('an', 4), ('his', 4), ('he', 4), ('disturbing', 3), ('trying', 3), ('me', 3), ('job', 3), ('way', 3), ('The', 3), ('holding', 3), ('in', 3), ('I', 3), ('more', 3), ('feel', 2), ('for', 2), ('that', 2), ('force', 2), ('it', 2), ('some', 2), ('one', 2), ('on', 2), ('him', 2), ('resisting', 2), ('violent', 2), ('unecessary', 2), ('uncomfortable', 2), ('of', 2), ('context', 2), ('she', 2), ('down', 2), ('boy', 2)]","[('the', 22), ('to', 21), ('looks', 13), ('is', 13), ('police', 12), ('being', 11), ('man', 10), ('this', 10), ('I', 10), ('like', 9), ('be', 8), ('a', 8), ('they', 7), ('in', 7), ('he', 7), ('This', 7), ('arrested', 7), ('and', 6), ('look', 5), ('of', 5), ('person', 5), ('seems', 5), ('she', 5), ('by', 5), ('for', 5), ('officer', 4), ('Law', 4), ('enforcement', 4), ('arrests', 4), ('have', 4), ('feel', 4), ('know', 4), ('resisting', 4), ('out', 3), ('as', 3), ('The', 3), ('are', 3), ('upset', 3), ('but', 3), (""don't"", 3), ('so', 3), ('who', 3), ('not', 3), ('his', 3), ('guy', 3), ('did', 3), ('it', 3), ('someone', 3), ('cops', 3), ('with', 3)]","[('the', 25), ('a', 18), ('is', 16), ('to', 15), ('being', 14), ('looks', 13), ('police', 12), ('of', 11), ('like', 11), ('man', 10), ('I', 9), ('by', 8), ('This', 8), ('and', 8), ('in', 7), ('are', 7), ('this', 6), ('feel', 5), ('they', 5), ('be', 5), ('arrested', 5), ('what', 5), ('for', 5), ('he', 5), ('that', 4), ('she', 4), ('on', 4), ('The', 4), ('doing', 4), ('carrying', 3), ('you', 3), (""don't"", 3), ('up', 3), ('very', 3), ('force.', 3), ('lot', 3), ('upset', 3), ('their', 3), ('it', 3), ('no', 3), ('as', 3), ('too', 3), ('much', 3), ('at', 3), ('his', 2), ('sad', 2), ('officers', 2), ('has', 2), ('some', 2), ('her', 2)]"
6,keep,"[('police', 18), ('a', 14), ('is', 13), ('are', 10), ('black', 10), ('on', 7), ('and', 6), ('man', 6), ('the', 5), ('african', 5), ('american', 5), ('looks', 5), ('an', 4), ('subject', 4), ('of', 3), ('riot', 3), ('person', 3), ('arresting', 3), ('ground', 3), ('trying', 3), ('to', 3), ('male', 3), ('he', 3), ('carrying', 3), ('have', 3), ('in', 2), ('back', 2), ('not', 2), ('female', 2), ('like', 2), ('resisting', 2), ('arrest', 2), ('detained', 2), ('being', 2), ('painful', 2), ('woman', 2), ('by', 2), ('away', 2), ('white', 2), ('picture', 1), ('confronting', 1), ('demonstrator...', 1), ('gear', 1), ('pushing', 1), ('demonstrator', 1), ('using', 1), ('force', 1), ('top', 1), ('move', 1), ('subject.', 1)]","[('is', 24), ('a', 21), ('being', 18), ('police', 17), ('like', 15), ('by', 15), ('the', 15), ('to', 12), ('arrested', 10), ('and', 10), ('in', 10), ('this', 9), ('looks', 9), ('man', 9), ('I', 9), ('This', 8), ('are', 8), ('of', 7), ('A', 7), ('he', 6), ('they', 6), ('black', 6), ('that', 5), ('feel', 5), ('The', 4), ('An', 4), ('african', 4), ('american', 4), ('officer', 4), ('it', 4), ('woman', 4), ('officers.', 4), ('sad', 4), ('person', 4), ('lot', 3), ('on', 3), ('as', 3), ('look', 3), ('just', 3), ('male', 3), ('guy', 3), ('out', 3), ('or', 3), ('do', 3), ('people', 3), ('no', 3), ('down', 3), ('at', 3), ('arrested.', 3), ('what', 3)]","[('the', 20), ('is', 14), ('police', 13), ('a', 13), ('to', 12), ('I', 12), ('looks', 12), ('being', 11), ('this', 10), ('like', 10), ('on', 9), ('of', 9), ('are', 8), ('they', 7), ('by', 7), ('man', 7), ('be', 6), ('arrested', 6), ('and', 6), ('feel', 6), ('guy', 5), ('This', 5), ('that', 5), ('so', 4), ('cops', 4), ('what', 4), ('black', 4), ('he', 4), ('look', 4), ('person', 4), ('The', 3), ('many', 3), ('people', 3), ('much', 3), ('in', 3), ('ground', 3), ('it', 3), ('not', 3), ('for', 3), ('arrested.', 3), ('as', 3), ('some', 2), ('restrain', 2), ('him.', 2), ('why', 2), ('Black', 2), ('response.', 2), (""don't"", 2), ('too', 2), ('one', 2)]"
8,keep,"[('so', 4), ('a', 4), ('I', 3), ('just', 3), ('like', 2), ('can', 2), ('Racial', 2), ('The', 2), ('in', 2), ('rag', 2), (""She's"", 2), ('not', 2), ('divide', 2), ('is', 2), ('of', 2), (""don't"", 1), ('police', 1), ('brutality.', 1), ('Painful', 1), ('to', 1), ('look', 1), ('at.', 1), ('imagine', 1), ('here', 1), ('expressing', 1), ('the', 1), ('pain.', 1), ('divide?', 1), ('Dehumanization?', 1), ('Divide', 1), ('again', 1), ('cops', 1), ('are', 1), ('indifferent', 1), ('dragging', 1), ('away.', 1), ('Like', 1), (""he's"", 1), ('doll.', 1), ('dangerous?', 1), ('excessive', 1), ('force', 1), ('doll', 1), ('Race', 1), ('and', 1), ('almost', 1), ('hear', 1), ('him', 1), ('screaming', 1), ('He', 1)]","[('I', 19), ('to', 17), ('a', 14), ('being', 11), ('is', 11), ('like', 11), ('the', 10), ('this', 9), ('police', 9), ('feel', 9), ('in', 9), ('it', 8), ('that', 7), ('by', 7), ('man', 6), ('not', 6), ('for', 6), ('arrested', 5), ('person', 5), ('of', 5), ('be', 5), ('looks', 5), ('arrest', 4), ('look', 4), ('she', 4), ('are', 4), ('so', 3), ('have', 3), ('This', 3), ('guy', 3), ('has', 3), ('one', 3), ('going', 3), ('down', 3), ('makes', 3), ('me', 3), ('why', 3), ('and', 3), ('with', 3), ('his', 3), ('just', 3), ('people', 3), ('Male', 2), ('arrested.', 2), (""I've"", 2), ('seen', 2), ('no', 2), ('Police', 2), ('take', 2), ('force.', 2)]","[('is', 19), ('the', 18), ('police', 15), ('a', 14), ('being', 13), ('I', 12), ('like', 11), ('looks', 10), ('to', 9), ('this', 8), ('of', 8), ('for', 8), ('and', 7), ('man', 7), ('on', 6), ('arrested', 6), ('by', 6), ('in', 6), ('This', 6), ('have', 6), ('arrest', 5), ('but', 5), ('There', 4), ('that', 4), ('are', 4), ('black', 4), ('he', 4), ('person', 4), ('no', 4), ('one', 4), ('they', 3), ('guy', 3), ('what', 3), ('why', 3), ('picture', 3), ('feel', 3), ('him', 3), ('it', 3), ('Cops', 3), ('with', 3), ('arresting', 3), ('break', 2), ('his', 2), ('off', 2), ('an', 2), ('woman', 2), ('just', 2), ('screaming', 2), ('lot', 2), ('going', 2)]"
9,eliminate,"[('Curious', 6), ('Neutral', 4), ('curious', 3), ('Terrified', 1), ('confused', 1), ('neutral', 1), ('Unhappy', 1), ('Fear', 1), ('Scared', 1), ('Shocked', 1)]","[('is', 19), ('to', 17), ('the', 16), ('he', 14), ('a', 13), ('I', 13), ('like', 12), ('police', 11), ('of', 9), ('they', 9), ('and', 8), ('this', 8), ('wonder', 8), ('what', 8), ('looks', 8), ('why', 7), ('man', 6), ('being', 6), ('seems', 6), ('for', 6), ('on', 6), ('are', 6), ('This', 6), ('force', 6), ('arrested', 5), ('feel', 5), ('that', 5), ('too', 5), ('him', 5), ('going', 5), ('in', 5), ('as', 5), ('his', 5), ('lot', 4), ('many', 4), ('so', 4), ('look', 4), ('just', 4), ('one', 4), ('person', 3), ('if', 3), ('man.', 3), ('not', 3), ('did', 3), ('with', 3), ('doing', 3), ('their', 3), ('am', 3), ('she', 3), ('excessive', 3)]","[('the', 17), ('to', 17), ('is', 13), ('being', 13), ('a', 13), ('man', 12), ('I', 11), ('police', 10), ('arrested', 9), ('by', 9), ('looks', 8), ('this', 8), ('and', 8), ('are', 8), ('of', 8), ('This', 8), ('he', 7), ('like', 6), ('with', 6), ('as', 6), ('they', 6), ('be', 6), ('his', 5), ('black', 5), ('on', 5), ('feel', 5), ('she', 5), ('in', 5), ('down', 4), ('it', 4), ('resisting', 4), ('seems', 4), ('why', 4), ('police.', 3), ('cops', 3), ('up', 3), ('for', 3), ('holding', 3), ('has', 3), ('at', 3), ('going', 3), ('cops.', 2), ('He', 2), ('needs', 2), ('take', 2), ('male', 2), ('officer', 2), ('A', 2), ('officers.', 2), ('guy', 2)]"
10,keep,"[('he', 6), ('upset', 4), ('is', 4), ('to', 4), ('the', 4), ('police', 3), ('on', 3), ('and', 3), ('be', 3), ('concerned', 3), ('seems', 3), ('very', 2), ('upsetting', 2), ('many', 2), ('sad', 2), ('they', 2), ('are', 2), ('holding', 2), ('him', 2), ('like', 2), ('her', 2), ('infuriating', 1), (""doesn't"", 1), ('need', 1), ('that', 1), ('him.', 1), ('extremely', 1), ('upset.', 1), ('not', 1), ('a', 1), ('person', 1), ('confused', 1), ('sad.', 1), ('seem', 1), ('trying', 1), ('hide', 1), ('his', 1), ('arrest', 1), ('i', 1), ('am', 1), ('curious', 1), ('what', 1), ('situation', 1), ('is.', 1), ('too', 1), ('nervous', 1), ('aggressive,', 1), ('aprehensive', 1), ('frustrated', 1), ('looking', 1)]","[('I', 18), ('to', 18), ('police', 17), ('the', 17), ('is', 12), ('like', 11), ('this', 11), ('a', 9), ('are', 8), ('being', 7), ('be', 7), ('they', 7), ('arrested', 7), ('have', 7), ('someone', 7), ('feel', 6), ('and', 6), ('for', 6), ('looks', 5), ('he', 5), ('that', 5), ('as', 5), ('what', 5), ('just', 5), ('or', 5), ('of', 5), ('arrest', 4), ('arresting', 4), ('in', 4), ('think', 3), ('am', 3), ('doing', 3), ('but', 3), ('Police', 3), ('by', 3), ('It', 3), ('People', 3), ('person', 3), ('black', 3), ('probably', 3), ('did', 3), ('protest', 3), ('guy', 3), ('an', 3), ('on', 3), ('was', 3), ('while', 2), (""He's"", 2), ('needs', 2), ('fighting', 2)]","[('to', 18), ('the', 17), ('is', 14), ('a', 13), ('police', 11), ('I', 9), ('like', 9), ('in', 8), ('person', 8), ('being', 8), ('on', 7), ('by', 7), ('and', 7), ('feel', 6), ('this', 6), ('of', 6), ('for', 6), ('man', 6), ('be', 6), ('violence', 5), ('that', 5), ('they', 5), ('looks', 5), ('arrested', 5), ('This', 5), ('not', 5), ('have', 5), ('are', 4), ('these', 4), ('one', 4), ('what', 4), ('The', 3), ('upset', 3), ('get', 3), ('someone', 3), ('lot', 3), ('cops', 3), ('A', 3), ('doing', 3), ('arrested.', 3), ('Police', 3), ('does', 3), ('look', 3), ('seems', 3), ('know', 3), ('she', 3), ('going', 3), ('see', 2), ('trying', 2), ('Black', 2)]"
12,keep,"[('looks', 11), ('The', 7), ('like', 6), ('man', 6), ('he', 5), ('is', 4), ('being', 4), (""That's"", 3), ('really', 3), ('and', 3), ('why', 3), ('him', 3), ('scared', 3), ('He', 2), ('are', 2), ('angry', 2), ('I', 2), ('wonder', 2), ('to', 2), ('they', 2), ('holding', 2), ('but', 2), ('be', 2), ('in', 2), ('pain', 2), ('a', 2), ('lot', 2), ('of', 2), ('cops', 2), ('for', 2), ('one', 2), ('woman', 2), ('scary', 1), ('upsetting', 1), ('attacked', 1), ('Why', 1), ('there', 1), ('policemen', 1), ('with', 1), ('their', 1), ('backs', 1), ('turned?', 1), ('arrested', 1), ('just', 1), ('what', 1), ('led', 1), ('up', 1), ('this', 1), ('event', 1), ('It', 1)]","[('to', 17), ('the', 16), ('police', 14), ('a', 14), ('is', 13), ('I', 13), ('looks', 12), ('and', 12), ('like', 10), ('This', 9), ('man', 9), ('this', 9), ('of', 8), ('being', 8), ('be', 7), ('on', 6), ('for', 5), ('what', 5), ('have', 5), ('she', 5), ('as', 5), ('response', 4), (""don't"", 4), ('by', 4), ('arrested', 4), ('feel', 4), ('in', 4), ('anger', 3), ('guy', 3), ('an', 3), ('are', 3), ('The', 3), ('they', 3), ('their', 3), ('with', 3), ('arresting', 3), ('arrested.', 3), ('someone', 3), ('need', 3), ('much', 3), ('it', 3), ('resisting', 3), ('cops', 3), ('am', 3), ('My', 2), ('really', 2), ('all', 2), ('know', 2), ('look', 2), ('doing', 2)]","[('the', 22), ('I', 16), ('to', 16), ('is', 14), ('police', 14), ('being', 12), ('man', 11), ('in', 9), ('feel', 9), ('this', 9), ('a', 9), ('arrested', 9), ('looks', 7), ('like', 7), ('they', 7), ('are', 7), ('by', 7), ('he', 6), ('person', 6), ('what', 6), ('and', 6), ('be', 5), ('of', 5), ('not', 4), ('as', 4), ('for', 4), ('with', 4), ('arrest.', 3), ('The', 3), ('guy', 3), ('pain.', 3), ('no', 3), ('doing', 3), ('have', 3), ('arrest', 3), ('it', 3), ('know', 3), ('on', 3), ('so', 3), ('black', 3), ('why', 3), ('This', 3), ('she', 3), ('do', 2), ('me', 2), ('was', 2), (""I'm"", 2), ('sure', 2), ('him', 2), ('or', 2)]"
13,eliminate,"[('looks', 7), ('I', 6), ('feel', 6), ('This', 5), ('sad', 4), ('he', 4), ('like', 4), ('seems', 3), ('to', 3), ('a', 3), ('scared', 2), ('He', 2), ('the', 2), ('look', 2), (""he's"", 2), ('and', 1), ('nervous.', 1), ('scared.', 1), ('offended.', 1), ('unjust', 1), ('alright.', 1), ('There', 1), ('be', 1), ('struggle.', 1), ('unfair.', 1), ('excessive.', 1), ('is', 1), ('demeaning.', 1), ('The', 1), ('man', 1), ('angry', 1), ('at', 1), ('being', 1), ('restrained.', 1), ('really', 1), ('upset.', 1), ('Is', 1), ('this', 1), ('necessary', 1), ('push', 1), ('someone', 1), ('into', 1), ('ground?', 1), ('police', 1), ('aggressive', 1), ('its', 1), ('what', 1), ('going', 1), ('through', 1), ('sad,', 1)]","[('I', 24), ('the', 24), ('to', 18), ('feel', 17), ('in', 14), ('this', 13), ('is', 13), ('like', 13), ('and', 13), ('man', 11), ('This', 11), ('looks', 11), ('they', 10), ('of', 9), ('that', 9), ('a', 8), ('for', 8), ('are', 7), ('person', 7), ('being', 6), ('be', 6), ('he', 6), ('what', 5), ('him', 5), ('have', 4), ('makes', 4), ('me', 4), ('on', 4), ('arrested', 3), ('by', 3), ('police', 3), ('cops', 3), ('He', 3), ('am', 3), ('Police', 3), ('with', 3), ('has', 3), ('his', 3), ('up', 3), ('it', 3), ('because', 3), ('force', 3), ('wonder', 3), ('why', 3), ('seem', 3), ('as', 3), ('but', 3), ('pain.', 3), ('looking', 3), ('at', 3)]","[('is', 21), ('the', 18), ('to', 17), ('this', 15), ('being', 13), ('I', 12), ('a', 12), ('looks', 11), ('like', 10), ('police', 10), ('by', 9), ('and', 7), ('in', 7), ('be', 6), ('of', 6), ('woman', 6), ('arrested', 6), ('he', 6), ('were', 5), ('seem', 4), ('black', 4), ('am', 4), ('not', 4), ('but', 4), ('she', 4), ('what', 4), ('The', 4), ('guy', 4), ('if', 4), ('feel', 4), ('man', 4), ('Police', 3), ('so', 3), (""don't"", 3), ('A', 3), ('why', 3), ('his', 3), ('up', 3), ('cops', 3), ('are', 3), ('protest', 3), ('it', 3), ('him', 3), ('that', 3), ('This', 3), ('very', 3), ('they', 3), ('just', 3), ('He', 3), ('going', 3)]"
14,keep,"[('of', 6), ('the', 6), ('in', 5), ('a', 4), ('feeling', 4), ('me', 3), ('with', 3), ('at', 3), ('them', 3), ('Not', 3), ('like', 3), ('Is', 3), ('Makes', 2), ('has', 2), ('lot', 2), ('I', 2), ('to', 2), (""he's"", 2), ('anything', 2), ('here.', 2), ('Looks', 2), ('and', 2), ('but', 2), ('for', 2), ('could', 2), ('be', 2), ('me.', 2), ('she', 2), ('or', 2), ('strong', 2), ('angry.', 1), ('NYPD', 1), ('skeletons', 1), ('their', 1), ('closet.', 1), ('used', 1), ('go', 1), ('drinking', 1), ('them.', 1), ('feel', 1), ('angry', 1), ('helplessness', 1), ('least', 1), ('giving', 1), ('hard', 1), ('time.', 1), ('Probably', 1), ('misuse', 1), ('force.', 1), (""don't"", 1)]","[('the', 14), ('I', 14), ('a', 12), ('like', 10), ('to', 10), ('police', 9), ('of', 9), ('being', 8), ('for', 6), ('Police', 6), ('as', 6), ('feel', 6), ('on', 6), ('is', 5), ('are', 5), ('be', 5), ('this', 5), ('not', 5), ('man', 5), ('look', 5), ('by', 5), ('This', 4), ('and', 4), ('they', 4), ('in', 4), ('The', 4), ('looks', 4), ('arresting', 3), ('with', 3), ('have', 3), ('much', 3), ('one', 3), ('sure', 3), ('just', 3), ('it', 3), (""He's"", 3), ('same.', 3), ('seems', 3), ('Looks', 2), ('someone', 2), ('what', 2), ('but', 2), ('guy', 2), ('resisting', 2), ('arrest.', 2), ('another', 2), ('black', 2), ('arrested', 2), ('seem', 2), ('here.', 2)]","[('the', 21), ('is', 16), ('looks', 14), ('and', 12), ('I', 12), ('man', 12), ('being', 12), ('like', 12), ('police', 11), ('to', 11), ('this', 9), ('of', 8), ('a', 8), ('are', 8), ('arrested', 7), ('by', 7), ('feel', 7), ('This', 7), ('for', 6), ('person', 6), ('she', 5), ('arrested.', 5), ('he', 5), ('in', 5), ('He', 4), ('him', 4), ('black', 4), ('down', 4), ('what', 4), ('it', 4), ('really', 4), ('people', 3), ('up.', 3), ('arrest', 3), ('seems', 3), ('on', 3), ('getting', 3), ('needs', 3), ('his', 3), ('that', 3), ('did', 3), (""don't"", 3), ('out', 3), ('or', 3), ('probably', 3), ('they', 3), ('calm', 2), ('violent', 2), ('officers.', 2), ('trying', 2)]"
